Year,Type,Department,Description,Amount
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,SOCIAL SECURITY,1129.15585
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,HEALTH INSURANCE,1154.22052
2022,Expenditure,CITY CLERK,REGULAR,1168.78845
2022,Expenditure,PW - BUREAU OF FACILITIES,MATERIALS,1172.5
2022,Expenditure,FINANCE,ADMINISTRATIVE FEES,1188.14
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,HEALTH INSURANCE,1198.68096
2022,Expenditure,PS - FIRE BUREAU,LEAVE BUYBACK,1200
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,MEDICAL - W/C,1254.742
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,CLEANING,1358.122
2022,Expenditure,PS - EMERGENCY MED SERVICES,GRANTS,1363.81
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,VEHICLES,1375
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,LEGAL - W/C,1399.5
2022,Expenditure,PS - EMERGENCY MED SERVICES,SOCIAL SECURITY,1499.25025
2022,Expenditure,FINANCE,LANDSCAPING,1500
2022,Expenditure,PS - POLICE BUREAU,SOCIAL SECURITY,1555.51127
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,HEALTH INSURANCE,1561.93536
2022,Expenditure,PS - FIRE BUREAU,OPERATIONAL SUPPLIES,1564
2022,Expenditure,LAW,JUDGEMENTS,1580
2022,Expenditure,PS - POLICE BUREAU,MEDICAL - W/C,1605.469
2022,Expenditure,PS - POLICE BUREAU,OPERATIONAL SUPPLIES,1623.3
2022,Expenditure,PS - POLICE BUREAU,LAND & BUILDINGS,1674.48
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,SUMMER YOUTH EMPLOYMENT,1700
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,REGULAR,1751.20264
2022,Expenditure,FINANCE,RETIREE CONTRIBUTION,1850
2022,Expenditure,INNOVATION & PERFORMANCE,MACHINERY AND EQUIPMENT,1900.692
2022,Expenditure,PS - FIRE BUREAU,LONGEVITY,1902.59528
2022,Expenditure,PW - BUREAU OF FACILITIES,MAINTENANCE,1910.275
2022,Expenditure,PS - POLICE BUREAU,MACHINERY AND EQUIPMENT,2252.507
2022,Expenditure,FINANCE,REGULAR,2256.63662
2022,Expenditure,CITY COUNCIL,REGULAR,2343.7831
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,REGULAR,2383.49718
2022,Expenditure,PS - POLICE BUREAU,INDEMNITY - W/C,2509.416
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,PROTECTIVE / INVESTIGATION,2610.72732
2022,Expenditure,INNOVATION & PERFORMANCE,TELEPHONE,2660.402
2022,Expenditure,LAW,REGULAR,2676.62638
2022,Expenditure,PS - EMERGENCY MED SERVICES,HEALTH INSURANCE,2709.27648
2022,Expenditure,CITY PLANNING,REGULAR,2835.26967
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,PARTS,2870.61048
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,HEALTH INSURANCE,2945.45172
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,FUEL,3007.129
2022,Expenditure,PS - POLICE BUREAU,LONGEVITY,3234
2022,Expenditure,PARKS AND RECREATION,REGULAR,3260.39595
2022,Expenditure,CITY CONTROLLER,REGULAR,3466.62546
2022,Expenditure,FINANCE,OPEB CONTR,3490.934
2022,Expenditure,PS - EMERGENCY MED SERVICES,PREMIUM PAY,3751.06772
2022,Expenditure,PW - BUREAU OF FACILITIES,ELECTRIC,3891.969
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,DISPOSAL - REFUSE,3995.543
2022,Expenditure,PW - BUREAU OF FACILITIES,WATER,4104.382
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,REGULAR,4686.91229
2022,Expenditure,INNOVATION & PERFORMANCE,REGULAR,4817.65616
2022,Expenditure,OFFICE OF COMMUNITY HEALTH AND SAFETY,PREVENTION,5000
2022,Expenditure,PW - BUREAU OF FACILITIES,REGULAR,5054.48167
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,REGULAR,5401.57222
2022,Expenditure,PS - FIRE BUREAU,INDEMNITY - W/C,5609.834
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,REGULAR,6256.37059
2022,Expenditure,INNOVATION & PERFORMANCE,COMPUTER MAINTANACE,6507.177
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,MAINTENANCE,7187.85535
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,REGULAR,8094.683
2022,Expenditure,PS - FIRE BUREAU,HEALTH INSURANCE,8883.89748
2022,Expenditure,PS - POLICE BUREAU,HEALTH INSURANCE,11039.47608
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,REGULAR,12714.33136
2022,Expenditure,PS - EMERGENCY MED SERVICES,REGULAR,14705.25573
2022,Expenditure,PS - POLICE BUREAU,PREMIUM PAY,17186.39391
2022,Expenditure,PS - FIRE BUREAU,PREMIUM PAY,17218
2022,Expenditure,FINANCE,INTEREST EXPENSE - BONDS,17887.74645
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,RETIREE HEALTH INSURANCE,24097.3368
2022,Expenditure,FINANCE,PRINCIPAL,42615
2022,Expenditure,FINANCE,ADDITIONAL PENSION FUND,46554.844
2022,Expenditure,PS - FIRE BUREAU,REGULAR,51519.52927
2022,Expenditure,FINANCE,PENSION CONTRIBUTION,53286.876
2022,Expenditure,PS - POLICE BUREAU,REGULAR,74321.64059
